F,G,time
"[-92.78, -2.09, -0.16]","[-0.12, -5.7, 1.01]",2018.0289999999998
"[-92.8, -2.1, -0.15]","[-0.11, -5.7, 1.01]",2026.1909999999998
"[-92.77, -2.11, -0.14]","[-0.12, -5.7, 1.01]",2036.1919999999998
"[-92.81, -2.11, -0.16]","[-0.12, -5.7, 1.01]",2046.1979999999999
"[-92.83, -2.08, -0.18]","[-0.11, -5.7, 1.02]",2056.187
"[-92.79, -2.1, -0.17]","[-0.12, -5.69, 1.02]",2066.192
"[-92.76, -2.11, -0.16]","[-0.11, -5.69, 1.02]",2076.184
"[-92.76, -2.14, -0.15]","[-0.11, -5.69, 1.02]",2086.193
"[-92.75, -2.11, -0.16]","[-0.11, -5.69, 1.01]",2096.003
"[-92.78, -2.13, -0.17]","[-0.11, -5.69, 1.01]",2106.2
"[-92.73, -2.13, -0.17]","[-0.11, -5.68, 1.01]",2116.1780000000003
"[-92.71, -2.1, -0.16]","[-0.11, -5.69, 1.01]",2127.177
"[-92.75, -2.09, -0.17]","[-0.12, -5.68, 1.0]",2136.174
"[-92.71, -2.08, -0.17]","[-0.12, -5.68, 1.0]",2146.191
"[-92.76, -2.09, -0.15]","[-0.12, -5.68, 1.0]",2156.185
"[-92.74, -2.06, -0.15]","[-0.12, -5.68, 1.0]",2166.181
"[-92.75, -2.03, -0.15]","[-0.12, -5.68, 1.0]",2176.1780000000003
"[-92.73, -2.04, -0.12]","[-0.12, -5.68, 1.0]",2186.196
"[-92.68, -2.03, -0.14]","[-0.12, -5.68, 1.0]",2196.175
"[-92.73, -2.07, -0.14]","[-0.11, -5.68, 1.0]",2206.19
"[-92.7, -2.07, -0.15]","[-0.12, -5.68, 1.0]",2216.1870000000004
"[-92.68, -2.06, -0.15]","[-0.11, -5.68, 1.0]",2228.004
"[-92.65, -2.05, -0.16]","[-0.11, -5.68, 1.0]",2236.1749999999997
"[-92.63, -2.07, -0.15]","[-0.12, -5.68, 1.0]",2246.19
"[-92.63, -2.04, -0.14]","[-0.11, -5.68, 1.0]",2256.185
"[-92.68, -2.05, -0.13]","[-0.12, -5.68, 1.0]",2266.2019999999998
"[-92.69, -2.05, -0.14]","[-0.12, -5.68, 0.99]",2276.185
"[-92.72, -2.03, -0.15]","[-0.12, -5.68, 0.99]",2286.079
"[-92.75, -2.02, -0.12]","[-0.12, -5.68, 0.99]",2296.196
"[-92.75, -2.04, -0.11]","[-0.12, -5.68, 0.99]",2306.181
"[-92.76, -2.05, -0.11]","[-0.13, -5.68, 0.99]",2316.189
"[-92.76, -2.05, -0.11]","[-0.13, -5.68, 0.99]",2327.175
"[-92.73, -2.01, -0.12]","[-0.12, -5.68, 0.99]",2336.167
"[-92.7, -2.11, -0.11]","[-0.14, -5.66, 1.01]",2346.1850000000004
"[-92.66, -2.02, -0.19]","[-0.09, -5.67, 1.01]",2356.194
"[-92.67, -2.15, -0.2]","[-0.11, -5.65, 1.01]",2366.19
"[-92.55, -2.14, -0.25]","[-0.1, -5.66, 1.02]",2376.185
"[-92.46, -2.27, -0.32]","[-0.09, -5.62, 1.06]",2386.188
"[-92.24, -2.24, -0.64]","[0.05, -5.63, 1.13]",2396.1769999999997
"[-92.25, -3.06, -0.58]","[-0.19, -5.6, 1.08]",2406.189
"[-92.03, -2.66, -0.0]","[-0.08, -5.75, 0.8]",2416.178
"[-92.39, -2.23, 0.5]","[-0.28, -5.64, 0.76]",2426.19
"[-92.76, -1.6, 0.18]","[-0.29, -5.7, 0.92]",2436.183
"[-93.5, -1.72, -0.36]","[-0.12, -5.64, 0.99]",2446.184
"[-93.73, -1.74, -0.05]","[-0.11, -5.66, 0.99]",2456.185
"[-94.22, -1.24, 0.16]","[-0.12, -5.71, 0.93]",2467.003
"[-94.25, -1.18, -0.18]","[-0.14, -5.66, 0.96]",2476.1769999999997
"[-94.09, -1.59, -0.69]","[-0.15, -5.71, 1.08]",2486.182
"[-93.5, -1.82, -0.75]","[-0.14, -5.68, 0.99]",2496.1839999999997
"[-92.93, -1.89, -0.41]","[-0.17, -5.72, 0.91]",2506.185
"[-92.56, -2.21, -0.3]","[-0.18, -5.65, 0.94]",2516.188
"[-92.36, -2.64, -0.48]","[-0.09, -5.63, 0.99]",2527.176
"[-92.28, -2.89, -0.32]","[-0.09, -5.61, 0.99]",2537.0080000000003
